cid,name,standard_dg_prime,p_h,ionic_strength,p_mg,temperature,decompose,reference,remark,Smiles
metanetx.chemical:MNXM275,2-Phospho-D-glycerate,-1340.7,7.0,0.25,14.0,298.15,1,Alberty (2006),,[H]OC(=O)[C@]([H])(OP(=O)(O[H])O[H])C([H])([H])O[H]
metanetx.chemical:MNXM836,D-Mannose 1-phosphate,-1309.7,7.0,0.25,14.0,298.15,1,Alberty (2006),,[H]OC([H])([H])[C@@]1([H])OC([H])(OP(=O)(O[H])O[H])[C@@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H]
metanetx.chemical:MNXM90126,D-Mannitol 1-phosphate,-1267.4,7.0,0.25,14.0,298.15,1,Alberty (2006),,[H]OC([H])([H])[C@@]([H])(O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@]([H])(O[H])C([H])([H])OP(=O)(O[H])O[H]
metanetx.chemical:MNXM2179,2-Deoxy-D-ribose 5-phosphate,-1084.6,7.0,0.25,14.0,298.15,1,Alberty (2006),,[H]O[C@@]([H])(C([H])([H])C([H])=O)[C@]([H])(O[H])C([H])([H])OP(=O)(O[H])O[H]
metanetx.chemical:MNXM724,Nitrogen,18.7,7.0,0.25,14.0,298.15,0,Alberty (2006),,N#N
metanetx.chemical:MNXM1470,Creatinine,261.9,7.0,0.25,14.0,298.15,1,Alberty (2006),,[H]N=C1N([H])C(=O)C([H])([H])N1C([H])([H])[H]
metanetx.chemical:MNXM469,D-Sorbitol,-375.9,7.0,0.25,14.0,298.15,1,Alberty (2006),,[H]OC([H])([H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@]([H])(O[H])C([H])([H])O[H]
metanetx.chemical:MNXM8595,Ethyl acetate,-11.7,7.0,0.25,14.0,298.15,1,Alberty (2006),,[H]C([H])([H])C(=O)OC([H])([H])C([H])([H])[H]
metanetx.chemical:MNXM579,Nitrous oxide,104.2,7.0,0.25,14.0,298.15,0,Alberty (2006),,N#[N+][O-]
metanetx.chemical:MNXM379,O-Phospho-L-serine,-1119.8,7.0,0.25,14.0,298.15,1,Alberty (2006),,[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])OP(=O)(O[H])O[H]
metanetx.chemical:MNXM872,3-Hydroxypropanoate,-315.5,7.0,0.25,14.0,298.15,1,Alberty (2006),,[H]OC(=O)C([H])([H])C([H])([H])O[H]
metanetx.chemical:MNXM198,"alpha,alpha-Trehalose",-686.4,7.0,0.25,14.0,298.15,1,Alberty (2006),,[H]OC([H])([H])[C@@]1([H])O[C@]([H])(O[C@@]2([H])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]2([H])O[H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H]
metanetx.chemical:MNXM393,Sorbitol 6-phosphate,-1266.9,7.0,0.25,14.0,298.15,1,Alberty (2006),,[H]OC([H])([H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@]([H])(O[H])C([H])([H])OP(=O)(O[H])O[H]
metanetx.chemical:MNXM1184,D-Arabinose 5-phosphate,-1235.0,7.0,0.25,14.0,298.15,1,Alberty (2006),,[H]O[C@@]([H])([C@]([H])(O[H])C([H])=O)[C@]([H])(O[H])C([H])([H])OP(=O)(O[H])O[H]
metanetx.chemical:MNXM1735,D-Galactose 6-phosphate,-1312.0,7.0,0.25,14.0,298.15,1,Alberty (2006),,[H]OC1([H])O[C@]([H])(C([H])([H])OP(=O)(O[H])O[H])[C@]([H])(O[H])[C@]([H])(O[H])[C@@]1([H])O[H]
metanetx.chemical:MNXM894,4-Hydroxy-2-oxoglutarate,-812.0,7.0,0.25,14.0,298.15,1,Alberty (2006),,[H]OC(=O)C(=O)C([H])([H])C([H])(O[H])C(=O)O[H]
metanetx.chemical:MNXM429,"D-Glucono-1,5-lactone 6-phosphate",-1382.8,7.0,0.25,14.0,298.15,1,Alberty (2006),,[H]O[C@@]1([H])[C@]([H])(O[H])[C@@]([H])(C([H])([H])OP(=O)(O[H])O[H])OC(=O)[C@]1([H])O[H]
metanetx.chemical:MNXM254,Hydrogen cyanide,160.3,7.0,0.25,14.0,298.15,0,Wagman (1982),,[H]C#N
metanetx.chemical:MNXM60,Carbonic acid,-546.8,7.0,0.25,14.0,298.15,0,Alberty (2006),,[H]OC(=O)O[H]
metanetx.chemical:MNXM1239,Maleic acid,-513.8,7.0,0.25,14.0,298.15,1,Alberty (2006),,[H]OC(=O)/C([H])=C(/[H])C(=O)O[H]
metanetx.chemical:MNXM1017,Butanal,196.1,7.0,0.25,14.0,298.15,1,Alberty (2006),,[H]C(=O)C([H])([H])C([H])([H])C([H])([H])[H]
metanetx.chemical:MNXM1191,Cyanate,-98.2,7.0,0.25,14.0,298.15,0,Alberty (2006),,[H]N=C=O
metanetx.chemical:MNXM714,Methane,128.6,7.0,0.25,14.0,298.15,0,Alberty (2006),,[H]C([H])([H])[H]
